angle_deg,r_inner_mm,r_outer_mm,thickness_mm,protrusion_mm
0.010986328125,2808.557250306191,2989.000169240678,180.44291893448735,235.4427496938183
0.032958984375,2808.717301343516,2989.000673394375,180.28337205085927,235.28269865649327
0.054931640625,2808.8968453150615,2989.0015124656425,180.104667150581,235.10315468494764
0.076904296875,2809.2569678735035,2989.002686454198,179.7457185806943,234.74303212650557
0.098876953125,2809.43754632778,2989.0041953596465,179.5666490318663,234.5624536722289
0.12084960937499999,2809.618469476831,2989.0060391814804,179.38756970464965,234.3815305231783
0.142822265625,2809.8006751483053,2989.010731571716,179.2100564234106,234.19932485170375
0.164794921875,2809.9966395868037,2989.0135801385395,179.01694055173584,234.00336041320543
0.186767578125,2810.1830817854766,2989.0167636185947,178.83368183311813,233.8169182145325
0.208740234375,2810.3698678209867,2989.0202820108107,178.650414189824,233.63013217902244
0.230712890625,2810.5569976247803,2989.0241353140054,178.46713768922518,233.44300237522884
0.252685546875,2810.744471128198,2989.028323526884,178.28385239868612,233.2555288718113
0.274658203125,2810.932288262471,2989.0328466480373,178.10055838556627,233.06771173753805
0.296630859375,2811.3089531479695,2989.0428976089775,177.73394446100792,232.69104685203956
0.318603515625,2811.494111657617,2989.048425445385,177.55431378776802,232.50588834239215
0.340576171875,2811.626247016879,2989.0542881833117,177.42804116643265,232.3737529831301
0.362548828125,2811.743623034373,3034.7587159356353,223.0150929012625,232.25637696563626
0.384521484375,2811.861350168842,3035.0672321224583,223.20588195361643,232.13864983116719
0.406494140625,2811.9794283761876,3035.0740566438594,223.09462826767185,232.02057162382152
0.428466796875,2812.0890525408795,3035.0886951367343,222.99964259585477,231.9109474591296
0.45043945312500006,2812.198392194358,3035.096509103436,222.898116909078,231.8016078056512
0.472412109375,2812.308083556893,3035.1046528802863,222.79656932339321,231.69191644311604
0.4943847656249999,2812.3327516054464,3035.1131264646315,222.78037485918503,231.66724839456265
0.516357421875,2812.32977616223,3035.121929853708,222.79215369147823,231.6702238377793
0.538330078125,2812.324893140317,3035.1310630446465,222.80616990432964,231.67510685969228
0.5603027343750001,2812.3229855634754,3035.1503188200927,222.8273332566173,231.67701443653368
0.582275390625,2812.3214339437204,3035.1604413983237,222.83900745460323,231.67856605628867
0.6042480468749999,2812.3202382816417,3035.170893765863,222.85065548422153,231.67976171836744
0.6262207031250001,2812.319398577694,3035.181675919303,222.86227734160911,231.68060142231525
0.648193359375,2812.3189148321944,3035.1927878551296,222.8738730229352,231.68108516781467
0.6701660156249999,2812.318787045329,3035.20422956972,222.88544252439124,231.68121295468018
0.692138671875,2812.3190152171437,3035.22810232017,222.9090871030262,231.68098478286538
0.714111328125,2812.319599347554,3035.2405333482475,222.9209340006937,231.68040065245532
0.7360839843750001,2812.3804959980343,3035.2532941395266,222.87279814149224,231.61950400197475
0.758056640625,2812.467551568111,3035.2663846898495,222.79883312173843,231.53244843189805
0.7800292968749999,2812.5548443692737,3035.279804994948,222.72496062567416,231.44515563073537
0.8020019531250001,2812.6424903789775,3035.293555050449,222.65106467147143,231.35750962103157
0.823974609375,2812.8188418918057,3035.322044394625,222.50320250281948,231.18115810820336
0.8459472656249999,2812.907547328506,3035.336783674016,222.4292363455097,231.092452671503
0.867919921875,2812.996605840901,3035.351852685239,222.35524684433813,231.0033941591082
0.889892578125,2813.0860173954566,3035.367251423384,222.28123402792744,230.91398260455253
0.9118652343750001,2813.1757819585096,3035.382979883433,222.20719792492355,230.82421804149953
0.933837890625,2813.26589949627,3035.3990380602595,222.13313856398963,230.73410050373923
0.9558105468749999,2813.357979603513,3035.4154259486318,222.05744634511893,230.64202039649626
0.9777832031249999,2813.4511771022403,3035.4491908385435,221.99801373630316,230.5488228977688
0.999755859375,2813.5447273174545,3035.4665678290808,221.92184051162621,230.45527268255455
1.021728515625,2813.638630213972,3035.4842745091582,221.84564429518605,230.3613697860369
1.043701171875,2813.7328857564835,3035.5023108730074,221.76942511652396,230.2671142435256
1.065673828125,2813.869713546521,3035.5206769147508,221.6509633682299,230.13028645348822
1.0876464843749998,2814.1577009120406,3035.539372628404,221.3816717163636,229.8422990879685
1.109619140625,2814.295322018866,3035.577753046971,221.28243102810484,229.70467798114305
1.1315917968750002,2814.433292087529,3035.597437739379,221.16414565185005,229.56670791248007
1.153564453125,2814.571611066711,3035.6174520786894,221.0458410119786,229.42838893329827
1.175537109375,2814.710278904974,3035.6377960583814,220.92751715340728,229.28972109503502
1.197509765625,2814.8492955507613,3035.658469671828,220.80917412106646,229.15070444924777
1.219482421875,2814.988660952395,3035.679472912294,220.69081195989884,229.011339047614
1.241455078125,2815.1271791399618,3035.7224682468095,220.59528910684776,228.87282086004734
1.263427734375,2815.2655046132463,3035.744460326855,220.47895571360868,228.73449538676277
1.285400390625,2815.4041788589916,3035.7667820059096,220.362603146918,228.5958211410175
1.307373046875,2815.5432018256643,3035.7894332767028,220.2462314510385,228.45679817434484
1.3293457031249998,2815.8222937150563,3035.8124141318576,219.99012041680135,228.17770628495282
1.351318359375,2815.990484819502,3035.8357245638895,219.84523974438753,228.00951518050715
