angle_deg,r_inner_mm,r_outer_mm,thickness_mm,protrusion_mm
0.010986328125,2818.0000051888464,2989.000017592558,171.00001240371148,225.9999954384689
0.032958984375,2818.0002464360946,2989.0002950564294,171.00004862033484,225.99975419122075
0.054931640625,2818.0008425683754,2989.001853725853,171.00101115747748,225.99915805893988
0.076904296875,2818.0030994870012,2989.0031349308815,171.00003544388028,225.9969011403141
0.098876953125,2818.004760272493,2989.004750715585,170.99999044309197,225.99524035482227
0.12084960937499999,2818.0067759413128,2989.006701079421,170.9999251381082,225.99322468600258
0.142822265625,2818.0091464926977,2989.0089860217345,170.99983952903676,225.99085413461762
0.164794921875,2818.0118719257534,2989.011605541758,170.9997336160045,225.9881287015619
0.186767578125,2818.01495223945,2989.014559638612,170.99960739916196,225.9850483878654
0.208740234375,2818.0183874326235,2989.021471558731,171.0030841261073,225.98161319469182
0.230712890625,2818.0221775039763,2989.0254293796747,171.00325187569842,225.97782312333902
0.252685546875,2818.0263224520763,2989.029721772807,171.00339932073075,225.973678175239
0.274658203125,2818.0308222753574,2989.0343487366863,171.00352646132887,225.9691783519579
0.296630859375,2818.03567697212,2989.039310269759,171.00363329763877,225.96432365519513
0.318603515625,2818.04088654053,2989.0446063703585,171.00371982982824,225.95911408678512
0.340576171875,2818.052370284286,2989.0562022669137,171.00383198262762,225.94763034302923
0.362548828125,2818.0586444552937,3034.9295750065307,216.87093055123705,225.94135617202164
0.384521484375,2818.0652734892715,3035.069085585353,217.00381209608167,225.93472713804385
0.406494140625,2818.072257383716,3035.075997738555,217.003740354839,225.92774324359925
0.428466796875,2818.0795961359886,3035.0832393766577,217.00364324066913,225.92040449132674
0.45043945312500006,2818.087289743318,3035.0908104973028,217.00352075398496,225.91271088399753
0.472412109375,2818.0953382027956,3035.106941176249,217.0116029734536,225.90466242451976
0.4943847656249999,2818.1037415113824,3035.1155007292978,217.01175921791537,225.89625911593293
0.516357421875,2818.112499665904,3035.1243897543823,217.01189008847814,225.8875009614112
0.538330078125,2818.1216126630525,3035.1336082486073,217.0119955855548,225.87838796426286
0.5603027343750001,2818.1310804993846,3035.143156208972,217.0120757095874,225.86892012793078
0.582275390625,2818.140903171324,3035.1530336323663,217.01213046104203,225.8590974559911
0.6042480468749999,2818.1510806751617,3035.1737768552703,217.0226961801086,225.84891995215366
0.6262207031250001,2818.1725001630166,3035.1846426480256,217.012142485009,225.82750046429874
0.648193359375,2818.1837421389437,3035.195837890301,217.01209575135726,225.81625848837166
0.6701660156249999,2818.1953389305872,3035.207362578451,217.01202364786377,225.8046616967281
0.692138671875,2818.207290533567,3035.219216708723,217.01192617515562,225.79271009374816
0.714111328125,2818.2195969433687,3035.231400277257,217.0118033338881,225.7804036839466
0.7360839843750001,2818.2322581553444,3035.2567557131356,217.02449755779116,225.7677424719709
0.758056640625,2818.245274164712,3035.269927572224,217.02465340751178,225.75472646260323
0.7800292968749999,2818.2586449665564,3035.2834288530626,217.02478388650616,225.74135566075893
0.8020019531250001,2818.2723705558265,3035.2972595512556,217.02488899542914,225.72763007148887
0.823974609375,2818.28645092734,3035.3114196623005,217.02496873496057,225.71354969997537
